a,b,time,Stop 1,Stop 10,Stop 11,Stop 12,Stop 13,Stop 14,Stop 15,Stop 16,Stop 17,Stop 18,Stop 19,Stop 2,Stop 20,Stop 21,Stop 22,Stop 23,Stop 24,Stop 25,Stop 26,Stop 27,Stop 28,Stop 29,Stop 3,Stop 30,Stop 31,Stop 32,Stop 4,Stop 5,Stop 6,Stop 7,Stop 8,Stop 9,Total bookings,optimalVehicles1,optimalVehicles2
s,8,0,4,0,0,1,1,0,0,0,1,0,0,5,0,1,1,0,1,0,1,3,2,1,3,3,1,1,1,0,0,0,0,1,32,7,8
s,6,1,2,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,2,0,0,0,1,0,0,1,0,0,0,0,15,3,6
s,6,2,1,2,2,2,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,1,18,3,6
s,6,3,1,0,2,3,1,0,0,1,0,1,0,0,0,0,1,0,2,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,17,3,6
s,6,4,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,13,3,6
s,6,5,3,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,14,3,6
s,7,6,1,2,0,0,0,0,1,1,1,1,1,0,0,0,1,2,0,2,1,0,1,0,1,1,2,0,0,0,1,0,1,2,23,4,7
s,6,7,0,0,2,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,3,0,14,3,6
s,7,8,1,1,2,2,0,2,1,0,1,1,0,1,0,1,0,0,2,0,1,1,1,0,1,1,0,0,0,2,1,2,0,2,27,7,7
s,7,9,1,0,0,1,1,0,2,0,0,0,0,0,1,3,0,2,2,1,0,0,0,1,1,0,0,0,1,0,0,3,1,0,21,3,7
s,7,10,1,2,0,0,0,1,1,1,0,0,2,1,1,0,1,0,0,0,0,0,0,1,0,0,1,2,2,1,0,1,0,1,20,3,7
s,6,11,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,13,3,6
s,6,12,2,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,2,1,0,0,1,0,0,0,1,0,0,15,3,6
s,7,13,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,2,0,2,0,1,2,0,2,1,1,1,1,0,0,1,1,1,21,3,7
s,6,14,1,0,1,2,0,1,1,0,0,0,0,2,0,0,1,0,1,0,0,1,2,1,0,1,1,0,1,0,0,0,0,0,17,3,6
s,7,15,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1,2,2,0,0,2,1,3,2,1,0,1,1,0,0,0,1,0,21,3,7
s,8,16,1,0,1,1,0,1,0,2,1,1,1,3,0,2,0,1,2,0,0,1,2,1,1,1,2,1,1,1,1,0,1,1,31,7,8
s,9,17,4,0,3,0,1,2,0,0,2,2,2,1,0,7,4,4,2,0,0,2,1,5,0,3,2,1,2,1,2,0,2,3,58,8,8
s,8,18,2,2,2,1,0,0,0,0,1,1,2,2,2,2,2,1,1,0,1,0,1,2,1,2,2,3,1,2,0,0,3,1,40,8,8
s,6,19,0,1,1,3,0,0,1,0,1,0,1,0,0,1,1,2,1,0,0,2,2,0,0,1,0,1,0,0,0,0,0,0,19,3,6
s,9,20,1,3,4,9,0,0,2,3,0,0,0,0,0,1,1,2,2,2,1,2,2,1,1,1,2,0,2,0,1,1,0,2,46,8,8
s,7,21,0,1,4,4,0,0,1,3,1,0,0,1,0,1,0,2,1,0,0,0,1,2,1,0,0,1,0,0,0,1,0,2,27,7,7
s,8,22,4,1,4,3,1,1,2,1,0,0,0,3,0,0,1,1,1,1,0,1,1,1,0,1,2,1,2,0,0,0,2,1,36,7,8
s,7,23,2,0,1,0,0,0,0,2,1,0,0,4,1,1,0,1,1,1,1,1,1,1,0,0,1,2,1,0,0,0,0,2,25,4,7
