time,demands,vehicles,totalEnergy,averageWaitingTime,maxWaitingTime,minWaitingTime,stabilityWaitingTime,averageJourneyTime,averageOccupancy,averageLoadFactor,maxLoadFactor,minLoadFactor,stabilityLoadFactor,completedBookingsPercentage
2017-01-01T05:00:00.000Z,58,2,0.186037426452,83,125,0,125,58,6.53194444444,0.674783614538,0.697948165071,0.651619064006,0.0463291010654,0.362068965517
2017-01-01T05:00:00.000Z,58,3,0.252503363386,44,91,0,91,51,3.33157407407,0.339160366864,0.600723266249,0.206985096635,0.393738169614,0.413793103448
2017-01-01T05:00:00.000Z,58,4,0.295528573414,22,35,0,35,51,4.74677002584,0.480958446291,0.716665999359,0.116603777677,0.600062221683,0.465517241379
2017-01-01T05:00:00.000Z,58,5,0.39308068747,7,30,0,30,16,2.76083333333,0.292621461354,0.603010922519,0.0899866461841,0.513024276335,0.465517241379
2017-01-01T05:00:00.000Z,58.0,7,0.567130166362,6,25,0,25,27,2.52007936508,0.24034437561,0.565095147886,0.078349508446,0.48674563944,0.534482758621
2017-01-01T05:00:00.000Z,58.0,8,0.376546403798,5,13,0,13,29,1.82166005291,0.173748581019,0.364466520739,0.0139987583362,0.350467762402,0.431034482759
2017-01-01T05:00:00.000Z,58.0,8,0.457616108321,4,8,0,8,18,0.640979166667,0.0671283940433,0.200275588381,0.0,0.200275588381,0.275862068966
2017-01-01T05:00:00.000Z,58.0,7,0.226468131401,9,25,0,25,31,0.503995859213,0.0415519071296,0.24246188851,0.0,0.24246188851,0.413793103448
2017-01-01T05:00:00.000Z,58.0,6,0.387811870943,8,22,0,22,29,1.68888888889,0.243403506824,0.535221894018,0.0820624309549,0.453159463063,0.344827586207
2017-01-01T05:00:00.000Z,58.0,9,0.710864065136,10,17,0,17,61,1.81866760829,0.175903544895,0.385652289361,0.0,0.385652289361,0.379310344828
2017-01-01T04:00:00.000Z,13.0,10,0.982561658497,3,8,0,8,18,0.394575757576,0.0401629684417,0.232404637058,0.0,0.232404637058,0.692307692308
2017-01-01T04:00:00.000Z,13.0,9,0.752218927847,5,14,0,14,14,0.350581395349,0.0388046159656,0.143141050065,0.0,0.143141050065,0.692307692308
2017-01-01T04:00:00.000Z,13.0,8,0.747916566457,2,5,0,5,12,0.355428571429,0.0543035029544,0.197299814851,0.0,0.197299814851,0.769230769231
2017-01-01T04:00:00.000Z,13.0,7,0.685008397484,4,13,0,13,10,0.467502088555,0.0477951311284,0.148905861367,0.0,0.148905861367,0.769230769231
2017-01-01T04:00:00.000Z,13.0,6,0.60998961191,5,15,1,14,18,0.577437641723,0.0523227158876,0.207122457306,0.0,0.207122457306,0.692307692308
2017-01-01T04:00:00.000Z,13.0,5,0.52705563059,6,14,1,13,13,0.671888888889,0.0761726339793,0.320394697853,0.0,0.320394697853,0.769230769231
2017-01-01T04:00:00.000Z,13.0,4,0.164511254355,5,14,0,14,10,0.646041666667,0.0601352654232,0.096906697494,0.0138459213931,0.0830607761009,0.692307692308
2017-01-01T04:00:00.000Z,13.0,2,0.203049750279,10,20,1,19,16,1.75283333333,0.172032004122,0.303716016174,0.0403479920711,0.263368024102,0.769230769231
2017-01-01T04:00:00.000Z,13.0,3,0.164498485336,9,20,1,19,20,2.05277777778,0.165395798192,0.45733644792,0.0,0.45733644792,0.615384615385
